"","Place","UF_cases_low","UF_cases_mean","UF_cases_high","UF_deaths_low","UF_deaths_mean","UF_deaths_high","ifr1_low","ifr1_mean","ifr1_high","ifr2_low","ifr2_mean","ifr2_high","cfr_low","cfr_mean","cfr_high"
"GJ","Gujarat","14.8069905067741","16.2580722610183","17.2854515379097","3.81563711667254","4.08609940077547","4.28974268593585","0.000584320109310676","0.000622766422575778","0.000682126251495434","0.00247997644800175","0.00254024189837631","0.00262033393851316",0.00983529614564872,0.0100966610742136,0.0103580260027784
"HR","Haryana","18.844962055778","21.0047985774245","23.0188833914146","4.53626245330012","4.93013703819012","5.30480619551681","0.000557331167843727","0.000613202988219063","0.000680772991116167","0.00293727434538797","0.00301404461202006","0.00310771262668991",0.0125230250683188,0.0128347712882892,0.0131465175082595
"JK","Jammu and Kashmir","37.9688454103756","41.497901344409","44.2199151037041","7.90589711417817","8.57469203959292","9.10581346716855","0.000282486077633998","0.000301750411008784","0.000328993685117255","0.00253857896145311","0.0025818692675285","0.00263058341958372",0.0119911860980478,0.0124886395687737,0.0129860930394996
"JH","Jharkhand","16.522748611056","18.8340015420472","21.9768492450577","4.10493811881188","4.55284843234323","5.138125","0.000809926418122385","0.000951229529035306","0.00107728025215917","0.0041375414266746","0.00430956873757599","0.00446355898517388",0.0172568044767914,0.0178007426887447,0.018344680900698
"KA","Karnataka","18.3223841099013","19.8129889409013","20.9085890827469","4.43530701754386","4.70409925518606","4.90787291612115","0.00057460749989535","0.000607256521097608","0.000655713362841234","0.00281192685936583","0.00285345852907096","0.00291278679278249",0.0118587583447082,0.0120133611095676,0.012167963874427
"KL","Kerala","11.8526921451649","11.972377254794","12.1007314173447","3.14761173038858","3.18848011945689","3.23075320345869","0.000395759038883003","0.00040001402296092","0.000404041020965532","0.00126088080569849","0.00127541100847888","0.00129038436256838",0.00469369592472715,0.00478919045448999,0.00488468498425283
"LA","Ladakh","9.86103366775999","11.3275319634703","13.0845769824426","2.59722222222222","3.11179166666667","3.66666666666667","0.000530837512887741","0.000617137287002342","0.000704366762061137","0.00164663028777007","0.00191155870042999","0.00218793370291249",0.00534490694204613,0.00694310511089682,0.00854130327974751
"MP","Madhya Pradesh","13.7166584203329","15.9241260033559","17.7026721862543","3.57978816018572","3.98814432191913","4.3201779841362","0.000546203131651361","0.000610530302535076","0.000704927883732355","0.0023409327801271","0.00242540134730181","0.00253991864430938",0.009407965464644,0.00967026473074362,0.00993256399684325
"MH","Maharashtra","13.9768500454697","14.6511207298968","15.1950929642684","3.65221556380824","3.77427363736965","3.8758651249156","0.00115736288184374","0.00120109543794207","0.00125824034212236","0.00447611430140661","0.00453124225259503","0.00459781252874642",0.0174563411676919,0.0175844419168191,0.0177125426659464
"MN","Manipur","9.1044608199903","11.6693289988679","14.917916060165","2.53979140328698","3.13527012220818","3.83460809102402","0.00128635351333644","0.00167662692223018","0.00210772660302687","0.00476492223478311","0.0051811767867652","0.00561823698589973",0.0178635495328855,0.0191878517368523,0.0205121539408191
